itemid,title,price,stock_status,page,size,mass,ISBN,original_title,publish_date,publish_company,writer,artist,image_url
158316924,슈퍼맨 Vol. 1 : 슈퍼맨의 아들,15000,in stock,176,167*257,334,9.78895E+12,원제 : Superman VOL. 1: Son Of Superman,7/25/18,시공사(만화),"피터 J. 토마시, 패트릭 글리슨","더그 만케, 호르헤 히메네스",https://image.aladin.co.kr/product/15831/69/cover500/895279138x_1.jpg
158316597,배트맨 Vol.1 : 나는 고담이다,16000,in stock,192,167*257,365,9.78895E+12,원제 : Batman Vol.1: I am Gotham,7/25/18,시공사(만화),톰 킹,데이비드 핀치,https://image.aladin.co.kr/product/15831/65/cover500/8952791371_1.jpg
157656177,헬보이 Hellboy 3,15000,out of stock,176,167*257,334,9.78895E+12,원제 : Hellboy: The Chained Coffin And Others,7/25/18,시공사(만화),,,https://image.aladin.co.kr/product/15765/61/cover500/8952791401_1.jpg
156519530,토르 천둥의 신 Vol.2 : 신폭탄,12000,in stock,136,167*257,258,9.78895E+12,원제 : Thor: God of Thunder Vol.2 Godbomb,7/25/18,시공사(만화),제이슨 아론,"에사드 리빅, 부치 가이스",https://image.aladin.co.kr/product/15651/95/cover500/895279141x_1.jpg
152188714,스파이더맨 / 데드풀 VOL. 0 : 이건 팀업이 아니야,22000,in stock,272,167*257,655,9.78895E+12,원제 : Spider-Man/Deadpool Vol.0: Don't Call It a Team-Up,6/25/18,시공사(만화),"조 켈리, 파비안 니시에자","패트릭 저처, 피트 우즈, 우나영",https://image.aladin.co.kr/product/15218/87/cover500/s822635575_1.jpg
151524301,어메이징 스파이더맨 : 다잉 위시,12000,in stock,136,167*257,258,9.78895E+12,원제 : The Amazing Spider - Man: Dying Wish,6/25/18,시공사(만화),댄 슬롯,"움베르토 라모스, 리처드 엘슨",https://image.aladin.co.kr/product/15152/43/cover500/8952790928_1.jpg
151524111,어두운 밤 : 진짜 배트맨 이야기,13000,out of stock,136,167*257,481,9.78895E+12,원제 : Dark Night: A True Batman Story (2016년),6/25/18,시공사(만화),폴 디니,에두아르도 리쏘,https://image.aladin.co.kr/product/15152/41/cover500/8952790944_1.jpg
151523602,앤트맨과 와스프 프렐류드,12000,out of stock,136,167*257,356,9.78895E+12,원제 : Marvel's Ant-man and The Wasp Prelude,6/25/18,시공사(만화),윌 코로나 필그림,"구루-eFX, 로베르토 포기, 크리스 앨런",https://image.aladin.co.kr/product/15152/36/cover500/895279091x_1.jpg
151523600,고담 센트럴 Book 3 : 변종 순찰,19000,in stock,224,167*257,541,9.78895E+12,원제 : Gotham Central Book 3: On The Freak Beat,6/25/18,시공사(만화),"그렉 러카, 에드 브루베이커","마이클 라크, 스테파노 가우디오",https://image.aladin.co.kr/product/15152/36/cover500/8952790901_1.jpg
151332058,아메리칸 뱀파이어 Vol. 3,23000,in stock,288,167*257,690,9.78895E+12,원제 : American Vampire 3,6/25/18,시공사(만화),스콧 스나이더,"라파엘 앨버커키, 션 머피",https://image.aladin.co.kr/product/15133/20/cover500/8952790936_1.jpg
149309332,(뉴 52) 저스티스 리그 8 : 다크사이드 워 PART 2,17000,in stock,200,167*257,380,9.78895E+12,원제 : (The New 52) Justice League Vol.8 The Darkseid War PART 2,6/25/18,시공사(만화),제프 존스,"제이슨 파복, 브래드 앤더슨, 프랜시스 마나풀",https://image.aladin.co.kr/product/14930/93/cover500/8952790227_1.jpg
147931262,페이블즈 디럭스 에디션 13,30000,in stock,368,167*257,991,9.78895E+12,원제 : Fables The Deluxe Edition 13 (2012년),5/25/18,시공사(만화),빌 윌링험,"마크 버킹험, 스티브 리어로하, 숀 맥매너스, 진 하, 앤드류 페포이",https://image.aladin.co.kr/product/14793/12/cover500/8952790812_1.jpg
147874266,데드풀 & 케이블 2,31000,in stock,416,167*257,969,9.78895E+12,원제 : Deadpool & Cable Ultimate Collection Book 2,5/25/18,시공사(만화),파비안 니시에자,패트릭 저처,https://image.aladin.co.kr/product/14787/42/cover500/8952778375_1.jpg
